sigma,rpa,phi_deg,F_me_un,F_me_bo,F_ad,cost
0.15,2.0,0,7.234246867473698e-62,0.0,-0.0,2.465190328815662e-32
0.15,2.0,20,0.0441856856536706,0.76470042375129,-1.515689755969951,1.0326320773844669e-13
0.15,2.0,40,0.4251711673133171,3.0431456612757906,-5.879944470111421,1.139088523648126e-12
0.15,2.0,60,1.368877922927625,6.754424205218053,-12.566370614359167,3.9133383467871794e-12
0.15,2.0,80,2.68804802201836,11.671399008169963,-20.768486514576875,7.849983715612457e-12
0.15,2.0,100,5.780044269102596,17.344930136553874,-29.49699594285981,0.1314183042193536
0.15,2.0,120,14.260540499582817,23.09070600388497,-37.69911184307751,1.1405945768711283
0.15,2.0,140,2.206352024706265,28.07178144746479,-44.385537987325264,3.856568493594735e-12
0.15,2.0,160,612.8387210977731,31.466867338324203,-48.74979270146674,7.892866038425762
0.15,3.0,0,7.798485152378066e-61,0.0,-0.0,9.860761315262648e-32
0.15,3.0,20,0.0982334615637227,0.7732698559591832,-3.4103019509323897,0.208314787042503
0.15,3.0,40,0.7457531772634634,3.172112444050891,-13.229875057750698,3.855782423827017e-17
0.15,3.0,140,4.663450411508702,35.420547014717485,-99.86746047148183,3.003093093954164e-08
0.15,3.0,160,1.193604769170378,40.33183107281274,-109.68703357830016,5.594327278227163e-05
0.15,4.0,0,7.798485152378066e-61,0.0,-0.0,9.860761315262648e-32
0.15,4.0,20,0.1205800840346894,0.7852670610502336,-6.062759023879804,3.513820453091244e-14
0.15,4.0,40,1.0914305974592529,3.352665939936032,-23.519777880445684,2.0448519562302707e-11
0.15,4.0,60,3.4595002605391505,8.16814089933346,-50.26548245743668,3.1733420341701737e-19
0.15,4.0,80,250.6689446706599,15.53286626081455,-83.0739460583075,5.199445740543692
0.15,4.0,100,237.1861800049525,25.134226631925785,-117.98798377143925,15.18080116018851
0.15,4.0,120,11.07816378461302,35.81415625092364,-150.79644737231004,6.571328049974699e-19
0.15,4.0,140,182.86668347326176,45.70881880887126,-177.54215194930106,0.0750984566438971
0.15,4.0,160,409.9367310061435,52.7427803010967,-194.99917080586687,1.4084430286121916
0.15,5.0,0,7.234246867473698e-62,0.0,-0.0,2.465190328815662e-32
0.15,5.0,20,0.1637215265666373,0.8006920390244413,-9.473060974812194,1.659690827102133e-12
0.15,5.0,40,280.583881899585,3.584806148931212,-36.749652938196384,0.8537972303380091
0.15,5.0,100,141.70661696783372,30.97619900345472,-184.35622464287383,1.7312082820179323e-20
0.15,5.0,120,317.90013926263737,45.35674393620263,-235.61944901923445,11.394952237981595
0.15,5.0,140,248.4271301126192,58.93659682992612,-277.40961242078293,31.85003693235885
0.15,5.0,160,236.53585108855168,68.69971502317607,-304.6862043841671,27.617773723543525
0.15,4.0,30,0.4485445090477303,1.818908151544628,-13.46859543163092,2.356217524135792e-11
0.15,4.0,50,2.098298343810094,5.450949834955185,-35.91090627776057,1.1463089747398973e-13
0.15,4.0,70,221.1257112228819,11.532690520556876,-66.14734988602059,26.57233570162735
0.15,4.0,35,0.7262895295608952,2.5191997391644607,-18.18081949050994,1.4845942146259382e-19
0.15,4.0,45,1.5485071416829312,4.327419239385616,-29.44483790433952,2.704816941896381e-12
0.15,4.0,55,2.7376837387618087,6.72961563902904,-42.86877231606825,9.372966338841349e-12
0.15,4.0,65,4.252541116382864,9.769141016444962,-58.04474327143434,9.581621868745409e-19
0.15,4.0,95,175.28691542966314,22.57297540678972,-109.29281583116791,0.9311224210593032
0.15,4.0,15,1026.187940365989,0.4369428008190085,-3.425509561836974,1.0658686315479795
0.15,4.0,10,1155.555673455034,0.1926516300541533,-1.5272912489078063,27.498581787604746
0.15,4.0,75,250.6640153311254,13.455950017472636,-74.51163657237083,28.29611869133937
0.15,3.0,10,0.270488789094091,0.1918902820801069,-0.859101327510641,0.0069782348002651
0.15,3.0,15,0.0302559596477773,0.4331128796236518,-1.926849128533298,1.7458549114114105e-05
0.15,3.0,25,0.8635840756442468,1.214600865929835,-5.298169822996157,0.0296050155422877
0.15,3.0,35,0.6767236852289248,2.411313419167272,-10.226710963411842,0.0066882470111975
0.15,3.0,50,1.4412459095541796,5.030036969227322,-20.19988478124032,7.530051079707329e-17
0.15,3.0,55,1.8829737022162487,6.129794782988817,-24.113684427788392,3.5176415870458504e-16
0.15,3.0,65,2.926622802115265,8.669463719406856,-32.65016809018182,1.7348757567895466e-16
0.15,3.0,70,3.5084775274347773,10.104571614704993,-37.207884310886584,2.983272926911576e-16
0.15,3.0,75,4.1122077682424605,11.643827009879889,-41.9127955719586,2.3973587182669604e-15
0.15,3.0,95,1642.1400789831205,18.67424953208621,-61.47720890503196,25.583405308426755
0.15,3.0,45,1.0613259147693028,4.0444378950479765,-16.562721321190978,8.845769616054888e-17
0.15,3.0,44,0.9930316474634584,3.860956103938341,-15.870960385400483,1.4618867533682466e-16
0.15,3.0,43,0.9273267937706984,3.681996286637877,-15.1915902733315,6.598219479321355e-17
0.15,3.0,42,0.8642147482753995,3.5075454155466304,-14.524817927701363,4.607103480086792e-17
0.15,3.0,41,0.8036925874506817,3.337589254271713,-13.870846453825727,4.1565441103124106e-17
0.15,3.0,39,0.6903822174781988,3.0110985902174296,-12.602098985572743,3.5465546117002415e-17
0.15,3.0,38,0.6550673559624254,2.854530348580197,-11.987709463964862,0.0007067097783209
0.15,3.0,37,0.6299343201535268,2.702389511593549,-11.38689364192705,0.0016283756058302
0.15,3.0,36,0.6167839638295347,2.5546570941922284,-10.799834533778938,0.0028988246110972
0.15,3.0,34,0.7322990742617361,2.2723382019599825,-9.667697509817266,0.0099591027428186
0.15,3.0,33,0.7887689362364724,2.137710634752113,-9.12296445390845,0.0132202213235198
0.15,3.0,32,0.8372767218262175,2.0074094697317384,-8.592677726651187,0.0161801539876552
0.15,3.0,31,0.8803215077176242,1.881413101415699,-8.07699885851959,0.0189305956480475
0.15,3.0,30,0.3410036210136575,1.759699647911169,-7.576084930292392,0.4990872201841215
0.15,3.0,29,0.2721694154779548,1.6422470310005766,-7.0900885252046,0.000298509531711
0.15,3.0,28,0.5182645213207885,1.529033054936036,-6.619157682469136,0.0210730553768807
0.15,3.0,27,0.5038341216184425,1.4200354838315177,-6.163435852182724,0.0140406554388384
0.15,3.0,26,0.735055023171419,1.315232117543069,-5.723061851629541,0.0254027463203176
0.15,3.0,24,1.0335326344000717,1.1181198213909809,-4.888889192510509,0.0366384655215374
0.15,3.0,23,1.1714705073412377,1.025767329576268,-4.495344631017431,0.0421387415233237
0.15,3.0,22,1.305716325371811,0.937522058170716,-4.117656016002719,0.0478269878831312
0.15,3.0,21,0.0945038278118002,0.8533630636566193,-3.755938395077249,0.0012860594179579
0.15,3.0,19,0.0675677728903882,0.6972224608850871,-3.08085196777729,2.674932697735609e-05
0.15,3.0,18,0.0563000230255361,0.6252014802664801,-2.767688799268273,2.4337720723085028e-05
0.15,3.0,17,0.0463835306782849,0.5571881497262376,-2.4709078379401395,2.198020303751944e-05
0.15,3.0,16,0.0377314641872199,0.4931643939837042,-2.19059948614869,1.968264818506814e-05
0.15,3.0,14,0.0238680629248023,0.377017065254791,-1.6797371060078965,1.531703461523031e-05
0.15,3.0,13,0.0184780794213233,0.3248612489878971,-1.4493386912883712,1.3267946788140994e-05
0.15,3.0,12,0.0139962286852698,0.2766306131673695,-1.2357240659637667,1.1327208168539964e-05
0.15,3.0,11,0.0103325726970802,0.2323112662939292,-1.0389582991182924,9.502022155125158e-06
0.15,3.0,9,0.0051032349192852,0.1553557355841998,-0.6962079373166675,6.256427152209488e-06
0.15,3.0,8,0.0033620201205346,0.1226967363724713,-0.5503277474410215,4.858420604257138e-06
0.15,3.0,7,0.0020891156405065,0.0939034586634912,-0.4215051944027135,3.6282638077986976e-06
0.15,3.0,6,0.0012022791486955,0.0689671684127715,-0.3097795187993193,2.573215654904184e-06
0.15,3.0,5,0.0006229239879058,0.047880247300096,-0.2151847533539415,1.7025818998529091e-06
0.15,3.0,4,0.0002771034214334,0.0306362135862379,-0.1377497125485048,1.020208495225194e-06
0.15,3.0,3,9.68342470602728e-05,0.0172297398101328,-0.0774979838465576,5.253305426922361e-07
0.15,3.0,2,2.179196144023097e-05,0.0076566673019782,-0.0344479205083346,2.0843379183128232e-07
0.15,3.0,1,1.690654133512708e-06,0.0019140174921127,-0.0086126360001719,4.7792623693791094e-08
0.15,3.0,60,2.3809527775357338,7.343472827766139,-28.27433388230813,1.2392407396590155e-16
0.15,3.0,80,4.720898435567923,13.280343696771876,-46.729094657797965,2.625986678391553e-16
0.15,3.0,100,6.793361845340786,20.59047034295884,-66.36824087143458,4.2902490243209774e-16
0.15,3.0,110,7.286156403094628,24.502710408037093,-75.88945121834595,8.612386210251291e-16
0.15,3.0,120,7.16538117311252,28.39214360681775,-84.8230016469244,1.806311957029401e-15
0.15,3.0,130,6.2842983134533785,32.08968652351831,-92.89745074799222,6.200464757411079e-16
0.15,3.0,150,2.750283508421091,38.21706686901895,-105.52125059894016,1.0015713760266264e-10
0.15,3.0,170,0.2904477950343425,41.64967862970319,-112.23823420172192,0.0011154139253622
